capability_id,feature,p0_3_value,provider_published_value,screen_result,required_closure,official_source,source_locator,source_accessed,provider_selected,upload_authorized,warning
CAP-014,global fiducials,three 1.0 mm copper / 2.0 mm mask board fiducials,provider page does not publish fiducial rule,PARTIAL - PROVIDER RESPONSE REQUIRED,confirm board/panel/local fiducial scheme,https://www.macrofab.com/capabilities,provider response required,2026-08-09,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CAP-015,surface finish,SELECTION REQUIRED,ENIG standard; alternatives listed,SELECTION REQUIRED,provider must propose exact finish and thickness,https://www.macrofab.com/capabilities,lines 67-75,2026-08-09,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CAP-016,laminate,SELECTION REQUIRED,FR4 Tg178.5 standard,SELECTION REQUIRED,provider must propose exact laminate/stackup,https://www.macrofab.com/capabilities,lines 77-84,2026-08-09,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CAP-017,copper weight,SELECTION REQUIRED,0.5/1/2 oz listed,SELECTION REQUIRED,thermal/current/fault study and provider stackup required,https://www.macrofab.com/capabilities,lines 86-91,2026-08-09,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CAP-018,dielectric stackup,SELECTION REQUIRED,default and custom stackups available,SELECTION REQUIRED,exact layer buildup and finished thickness required,https://www.macrofab.com/capabilities,lines 62-65,2026-08-09,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CAP-019,SMT alloy/flux,SELECTION REQUIRED,SAC305; no-clean standard commercial,SELECTION REQUIRED,"exact paste, flux, profile and cleaning response required",https://www.macrofab.com/capabilities,lines 133-143,2026-08-09,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CAP-020,stencil,TI example apertures encoded; thickness SELECTION REQUIRED,screen/jet printing supported,SELECTION REQUIRED,"stencil thickness, reductions, nano-coat and aperture disposition required",https://www.macrofab.com/capabilities,lines 167-175,2026-08-09,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CAP-021,QFN inspection,AOI plus X-ray requested for every first article,"AOI, first-article images, QFN X-ray listed",PARTIAL - EXACT DELIVERABLES OPEN,"confirm image set, views, void/bridge criteria and traceability",https://www.macrofab.com/capabilities,lines 232-239,2026-08-09,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CAP-022,workmanship class,SELECTION REQUIRED,IPC-A-610 Class 2; Class 3 available,SELECTION REQUIRED,qualified reviewer must select class and acceptance clauses,https://www.macrofab.com/capabilities,lines 224-248,2026-08-09,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CAP-023,file intake,"Gerber/job, drill, BOM, position, native source available",BOM/Gerber/native intake advertised,INTERNAL SCREEN PASS,provider-specific import report required,https://www.macrofab.com/capabilities,lines 251-256,2026-08-09,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CAP-024,first-article build quantity,three serialized evaluation variants proposed,no minimum advertised,PARTIAL - QUOTE REQUIRED,"lot split, serialization, tooling and first-article terms open",https://www.macrofab.com/capabilities,lines 251-256,2026-08-09,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
