hold_id,hold,state,closure_evidence,release_effect,warning
R273-H11,Single-rail and twin-rail physical proof and stopping tests pass qualified limits,OPEN,NOT EXECUTED,BLOCKS P0.13 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H12,Configuration-bound qualified release and separate work authority are signed,OPEN,NOT EXECUTED,BLOCKS P0.13 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H13,"Select currently purchasable exact A04 screw, washer, prevailing-torque nut and straight 2 mm installation tool with certificates and complete tolerances",OPEN,"accepted supplier quote/datasheets, received identities, certificates and dimensional inspection",BLOCKS P0.13 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H14,"Develop A04 tightening, anti-galling, locking, witness-mark, reuse and proof procedure against the exact received stack",OPEN,"qualified bolted-joint calculation, calibrated installation trials, prevailing-torque/preload evidence and physical proof",BLOCKS P0.13 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H15,"Validate access-well tool reach, head seating, chip/deburr control, inner-web ligament and no-contact hardware envelope on received C07/S102/XM540",OPEN,"FAI, borescope/photos, gauges, dry-fit record and accepted tolerance analysis",BLOCKS P0.13 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R277-H16,"Obtain converter quote for Rogers 2300327 laminated on its PET-supported face with exact 3M 467MP configuration, lot traceability and finished 40 x 12 mm coupon tolerances",OPEN,controlled supplier/FAI/test evidence plus qualified acceptance,BLOCKS P0.13 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R277-H17,Measure complete received pad/adhesive stack and release the dependent pocket depth before any machining,OPEN,controlled supplier/FAI/test evidence plus qualified acceptance,BLOCKS P0.13 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R277-H18,Qualified reviewer accepts the 0.100..0.200 mm installed-protrusion candidate band and its guard/stopping implications,OPEN,controlled supplier/FAI/test evidence plus qualified acceptance,BLOCKS P0.13 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R277-H19,"Inspect pocket plan, dependent depth, installed protrusion, retention and continuous metal-backup witness on the first article",OPEN,controlled supplier/FAI/test evidence plus qualified acceptance,BLOCKS P0.13 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R277-H20,"Validate pad loss, migration, bottom-out, single-rail/twin-rail contact, rebound, wear, contamination and replacement interval physically",OPEN,controlled supplier/FAI/test evidence plus qualified acceptance,BLOCKS P0.13 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
