j2_deg,metal_clearance_mm,metal_intersection_mm3,maximum_bumper_envelope_clearance_mm,classification,status
116.25,1.378155114,0.000000000,0.806482823,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.30,1.335769843,0.000000000,0.761004285,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.35,1.293565307,0.000000000,0.715634388,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.40,1.251548576,0.000000000,0.670378705,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.45,1.209727059,0.000000000,0.625243178,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.50,1.168108519,0.000000000,0.580234147,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.55,1.126701094,0.000000000,0.535358385,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.60,1.085513315,0.000000000,0.490623130,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.65,1.044554128,0.000000000,0.446036127,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.70,1.003832917,0.000000000,0.401605668,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.75,0.963359524,0.000000000,0.357340639,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.80,0.923144273,0.000000000,0.313250572,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.85,0.883197999,0.000000000,0.269345698,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.90,0.843532067,0.000000000,0.225637013,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.95,0.804158406,0.000000000,0.182136338,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.00,0.765089531,0.000000000,0.138856402,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.05,0.726338576,0.000000000,0.095810912,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.10,0.687919321,0.000000000,0.053014649,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.15,0.649834708,0.000000000,0.010483563,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.20,0.611831203,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.25,0.573799795,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.30,0.535740516,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.35,0.497653392,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.40,0.459538454,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.45,0.421395731,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.50,0.383225251,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.55,0.345027043,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.60,0.306801137,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.65,0.268547562,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.70,0.230266346,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.75,0.191957520,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.80,0.153621111,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.85,0.115257150,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.90,0.076865666,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.95,0.038446687,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
118.00,0.000000244,0.000000000,0.000000000,METAL_CONTACT_TARGET,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
