axis_id,approach_speed_rad_s,total_stop_time_ms,angular_overtravel_formula,angular_overtravel_deg,endpoint_model,endpoint_overtravel_mm,fall_or_gravity_term,accepted_limit,measured_result,validation_state,authority,warning
L_HIP_PITCH,SELECTION REQUIRED,SELECTION REQUIRED,"theta_stop = integral(omega(t), 0..T_total)",NOT CALCULATED,whole-body forward kinematics plus structural/restraint compliance,NOT CALCULATED,REQUIRED FOR LEGS/WAIST/LOAD-BEARING POSES,SELECTION REQUIRED BEFORE MOTION,NOT EXECUTED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
L_KNEE_PITCH,SELECTION REQUIRED,SELECTION REQUIRED,"theta_stop = integral(omega(t), 0..T_total)",NOT CALCULATED,whole-body forward kinematics plus structural/restraint compliance,NOT CALCULATED,REQUIRED FOR LEGS/WAIST/LOAD-BEARING POSES,SELECTION REQUIRED BEFORE MOTION,NOT EXECUTED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
L_ANKLE_PITCH,SELECTION REQUIRED,SELECTION REQUIRED,"theta_stop = integral(omega(t), 0..T_total)",NOT CALCULATED,whole-body forward kinematics plus structural/restraint compliance,NOT CALCULATED,REQUIRED FOR LEGS/WAIST/LOAD-BEARING POSES,SELECTION REQUIRED BEFORE MOTION,NOT EXECUTED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
L_ANKLE_ROLL,SELECTION REQUIRED,SELECTION REQUIRED,"theta_stop = integral(omega(t), 0..T_total)",NOT CALCULATED,whole-body forward kinematics plus structural/restraint compliance,NOT CALCULATED,REQUIRED FOR LEGS/WAIST/LOAD-BEARING POSES,SELECTION REQUIRED BEFORE MOTION,NOT EXECUTED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R_SHOULDER_PITCH,SELECTION REQUIRED,SELECTION REQUIRED,"theta_stop = integral(omega(t), 0..T_total)",NOT CALCULATED,whole-body forward kinematics plus structural/restraint compliance,NOT CALCULATED,REQUIRED FOR LEGS/WAIST/LOAD-BEARING POSES,SELECTION REQUIRED BEFORE MOTION,NOT EXECUTED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R_SHOULDER_ROLL,SELECTION REQUIRED,SELECTION REQUIRED,"theta_stop = integral(omega(t), 0..T_total)",NOT CALCULATED,whole-body forward kinematics plus structural/restraint compliance,NOT CALCULATED,REQUIRED FOR LEGS/WAIST/LOAD-BEARING POSES,SELECTION REQUIRED BEFORE MOTION,NOT EXECUTED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R_ELBOW_PITCH,SELECTION REQUIRED,SELECTION REQUIRED,"theta_stop = integral(omega(t), 0..T_total)",NOT CALCULATED,whole-body forward kinematics plus structural/restraint compliance,NOT CALCULATED,REQUIRED FOR LEGS/WAIST/LOAD-BEARING POSES,SELECTION REQUIRED BEFORE MOTION,NOT EXECUTED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R_WRIST_ROTATION,SELECTION REQUIRED,SELECTION REQUIRED,"theta_stop = integral(omega(t), 0..T_total)",NOT CALCULATED,whole-body forward kinematics plus structural/restraint compliance,NOT CALCULATED,REQUIRED FOR LEGS/WAIST/LOAD-BEARING POSES,SELECTION REQUIRED BEFORE MOTION,NOT EXECUTED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R_GRIPPER,SELECTION REQUIRED,SELECTION REQUIRED,"theta_stop = integral(omega(t), 0..T_total)",NOT CALCULATED,whole-body forward kinematics plus structural/restraint compliance,NOT CALCULATED,REQUIRED FOR LEGS/WAIST/LOAD-BEARING POSES,SELECTION REQUIRED BEFORE MOTION,NOT EXECUTED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R_HIP_YAW,SELECTION REQUIRED,SELECTION REQUIRED,"theta_stop = integral(omega(t), 0..T_total)",NOT CALCULATED,whole-body forward kinematics plus structural/restraint compliance,NOT CALCULATED,REQUIRED FOR LEGS/WAIST/LOAD-BEARING POSES,SELECTION REQUIRED BEFORE MOTION,NOT EXECUTED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R_HIP_ROLL,SELECTION REQUIRED,SELECTION REQUIRED,"theta_stop = integral(omega(t), 0..T_total)",NOT CALCULATED,whole-body forward kinematics plus structural/restraint compliance,NOT CALCULATED,REQUIRED FOR LEGS/WAIST/LOAD-BEARING POSES,SELECTION REQUIRED BEFORE MOTION,NOT EXECUTED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R_HIP_PITCH,SELECTION REQUIRED,SELECTION REQUIRED,"theta_stop = integral(omega(t), 0..T_total)",NOT CALCULATED,whole-body forward kinematics plus structural/restraint compliance,NOT CALCULATED,REQUIRED FOR LEGS/WAIST/LOAD-BEARING POSES,SELECTION REQUIRED BEFORE MOTION,NOT EXECUTED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R_KNEE_PITCH,SELECTION REQUIRED,SELECTION REQUIRED,"theta_stop = integral(omega(t), 0..T_total)",NOT CALCULATED,whole-body forward kinematics plus structural/restraint compliance,NOT CALCULATED,REQUIRED FOR LEGS/WAIST/LOAD-BEARING POSES,SELECTION REQUIRED BEFORE MOTION,NOT EXECUTED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R_ANKLE_PITCH,SELECTION REQUIRED,SELECTION REQUIRED,"theta_stop = integral(omega(t), 0..T_total)",NOT CALCULATED,whole-body forward kinematics plus structural/restraint compliance,NOT CALCULATED,REQUIRED FOR LEGS/WAIST/LOAD-BEARING POSES,SELECTION REQUIRED BEFORE MOTION,NOT EXECUTED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R_ANKLE_ROLL,SELECTION REQUIRED,SELECTION REQUIRED,"theta_stop = integral(omega(t), 0..T_total)",NOT CALCULATED,whole-body forward kinematics plus structural/restraint compliance,NOT CALCULATED,REQUIRED FOR LEGS/WAIST/LOAD-BEARING POSES,SELECTION REQUIRED BEFORE MOTION,NOT EXECUTED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
