risk_id,hazard,cause,initial_severity,initial_likelihood,controls,linked_requirements,residual_risk,status
R-030,Unexpected maintenance motion,"service mode error; held command; remote input; reset during access",critical,possible,"energy isolation; lockout procedure; hold-to-run setup; reset plus separate arm; maintenance exclusion","SYS-005;SAFE-008;PROD-011",medium,open
R-031,Hot-plug electrical damage or motion,"connector inserted or removed with power present; pin sequencing or arcing",critical,possible,"keyed connectors; no-hot-plug rule; service disconnect; connector selection and inspection","ELEC-003;CFG-001",medium,open
R-032,Charging and motion enabled together,"interlock failure; charger connected during drive enable",critical,possible,"hardware charger interlock; state check; keyed procedure; functional fault test","WALK-009;SAFE-009",medium,open
R-033,Battery venting or enclosure pressure,"cell fault; blocked vent path; thermal propagation",critical,unlikely,"qualified pack; enclosure and vent analysis; temperature monitoring; controlled charging and storage","WALK-009",medium,open
R-034,Gripper trapping cutting or dropping hazard,"excess force; narrow pinch; release fault; detached finger",high,possible,"broad compliant fingers; calibrated force limit; retention; dropped-object test; human exposure gate","GRIP-001;PROD-006",medium,open
R-035,Configuration or calibration mismatch,"wrong firmware CAD calibration limit table or mirrored setup loaded",critical,possible,"configuration hash; signed release set; drive inhibit on mismatch; audit and fault test","CFG-001;CFG-002;CTRL-005",medium,open
R-036,EMI-corrupted command or feedback,"actuator-current coupling; grounding or shield error; termination fault",critical,possible,"separation and shielding design; CRC and sequence checks; isolation selection; worst-case EMC tests","CTRL-003;CTRL-005;WALK-014",medium,open
R-037,Mirrored-joint polarity error,"left/right mapping or encoder sign reversed",critical,possible,"configuration-specific polarity record; restrained low-energy direction test; output sensing; drive inhibit","CFG-002;WALK-013",medium,open
R-038,Manual handling or lifting injury,"awkward 8 to 10 kg body; unsecured joints; poor lift points",high,possible,"defined lift points; two-person procedure where required; energy isolation; joint restraints","PROD-002;SAFE-006",medium,open
R-039,Damaged restraint used for testing,"previous arrest; abrasion; wrong attachment; undocumented substitution",critical,possible,"serialized inspection record; retirement criteria; proof evidence; configuration control","PROD-004;CFG-001;SAFE-009",medium,open
R-040,Bus capacity or topology failure,"unproven 250 Hz packet budget; asymmetric loading; termination or retry storm",critical,possible,"byte-level budget; measured utilization and jitter; segmented topology review; injected failure traffic","WALK-014;CTRL-005",medium,open
