reference,terminal,sheet,pin_name,net,native_net_p114,native_net_p115,parity,warning
H1,TBD-HB,02_estop_eligibility.kicad_sch,UNVERIFIED LAMP TERMINAL B,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
ISO1,1,07_watchdog_control.kicad_sch,ANODE,HB_LED_A,HB_LED_A,HB_LED_A,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
ISO1,2,07_watchdog_control.kicad_sch,CATHODE,COMPUTE_0V,COMPUTE_0V,COMPUTE_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
ISO1,3,07_watchdog_control.kicad_sch,EMITTER,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
ISO1,4,07_watchdog_control.kicad_sch,COLLECTOR,WD_HEARTBEAT,WD_HEARTBEAT,WD_HEARTBEAT,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
J24,1,01_external_sources.kicad_sch,+24V,SAFETY_24V_RAW,SAFETY_24V_RAW,SAFETY_24V_RAW,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
J24,2,01_external_sources.kicad_sch,N/C,INTENTIONALLY_NOT_CONNECTED_J24_2,unconnected-(J24-N{slash}C-Pad2),unconnected-(J24-N{slash}C-Pad2),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
J24,3,01_external_sources.kicad_sch,0V / SHIELD RETURN,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
J24,4,01_external_sources.kicad_sch,N/C,INTENTIONALLY_NOT_CONNECTED_J24_4,unconnected-(J24-N{slash}C-Pad4),unconnected-(J24-N{slash}C-Pad4),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
JA1,1,01_external_sources.kicad_sch,C6P 1,ACT_12V_RAW,ACT_12V_RAW,ACT_12V_RAW,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
JA1,2,01_external_sources.kicad_sch,C6P 2,ACT_12V_RAW,ACT_12V_RAW,ACT_12V_RAW,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
JA1,3,01_external_sources.kicad_sch,C6P 3,ACT_12V_RAW,ACT_12V_RAW,ACT_12V_RAW,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
JA1,4,01_external_sources.kicad_sch,C6P 4,ACT_0V_PE_BONDED,ACT_0V_PE_BONDED,ACT_0V_PE_BONDED,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
JA1,5,01_external_sources.kicad_sch,C6P 5,ACT_0V_PE_BONDED,ACT_0V_PE_BONDED,ACT_0V_PE_BONDED,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
JA1,6,01_external_sources.kicad_sch,C6P 6,ACT_0V_PE_BONDED,ACT_0V_PE_BONDED,ACT_0V_PE_BONDED,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
JFRAME1,TBD-FRAME,10_actuator_interfaces.kicad_sch,ROBOT FRAME,ROBOT_FRAME,unconnected-(JFRAME1-ROBOT_FRAME-PadTBD-FRAME),unconnected-(JFRAME1-ROBOT_FRAME-PadTBD-FRAME),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
JFRAME1,TBD-SHIELD,10_actuator_interfaces.kicad_sch,CABLE SHIELDS,CABLE_SHIELD_TERM,unconnected-(JFRAME1-CABLE_SHIELDS-PadTBD-SHIELD),unconnected-(JFRAME1-CABLE_SHIELDS-PadTBD-SHIELD),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
JWF1,1,11_watchdog_pcb_connectors.kicad_sch,WATCHDOG 1 NC +24 V,WD1_NC_24V,WD1_NC_24V,WD1_NC_24V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
JWF1,2,11_watchdog_pcb_connectors.kicad_sch,WATCHDOG 2 NC +24 V,WD2_NC_24V,WD2_NC_24V,WD2_NC_24V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
JWH1,1,11_watchdog_pcb_connectors.kicad_sch,COMPUTE HEARTBEAT,PI_HEARTBEAT,PI_HEARTBEAT,PI_HEARTBEAT,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
JWH1,2,11_watchdog_pcb_connectors.kicad_sch,COMPUTE 0 V,COMPUTE_0V,COMPUTE_0V,COMPUTE_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
JWP1,1,11_watchdog_pcb_connectors.kicad_sch,SAFETY +24 V,SAFETY_24V,SAFETY_24V,SAFETY_24V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
JWP1,2,11_watchdog_pcb_connectors.kicad_sch,SAFETY 0 V,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
JWP1,3,11_watchdog_pcb_connectors.kicad_sch,WATCHDOG 1 COIL SINK,WD1_COIL_N,WD1_COIL_N,WD1_COIL_N,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
JWP1,4,11_watchdog_pcb_connectors.kicad_sch,WATCHDOG 2 COIL SINK,WD2_COIL_N,WD2_COIL_N,WD2_COIL_N,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
K1,13,04_contactor_edm.kicad_sch,AUX NO IN,SAFETY_24V,SAFETY_24V,SAFETY_24V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
K1,14,04_contactor_edm.kicad_sch,AUX NO OUT,K1_STATUS,K1_STATUS,K1_STATUS,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
K1,21,04_contactor_edm.kicad_sch,MIRROR NC IN,ARM_AFTER_S2,ARM_AFTER_S2,ARM_AFTER_S2,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
K1,22,04_contactor_edm.kicad_sch,MIRROR NC OUT,EDM_K1_OUT,EDM_K1_OUT,EDM_K1_OUT,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
K1,A1,04_contactor_edm.kicad_sch,COIL +,K1_A1,K1_A1,K1_A1,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
K1,A2,04_contactor_edm.kicad_sch,COIL -,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
K2,13,04_contactor_edm.kicad_sch,AUX NO IN,SAFETY_24V,SAFETY_24V,SAFETY_24V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
K2,14,04_contactor_edm.kicad_sch,AUX NO OUT,K2_STATUS,K2_STATUS,K2_STATUS,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
K2,21,04_contactor_edm.kicad_sch,MIRROR NC IN,EDM_K1_OUT,EDM_K1_OUT,EDM_K1_OUT,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
K2,22,04_contactor_edm.kicad_sch,MIRROR NC OUT,SRA1_START_RETURN,SRA1_START_RETURN,SRA1_START_RETURN,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
K2,A1,04_contactor_edm.kicad_sch,COIL +,K2_A1,K2_A1,K2_A1,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
K2,A2,04_contactor_edm.kicad_sch,COIL -,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
KP1,1L1,05_actuator_interruption.kicad_sch,POLE1 IN,K1_P1_IN,K1_P1_IN,K1_P1_IN,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
KP1,2T1,05_actuator_interruption.kicad_sch,POLE1 OUT,K1_J12,K1_J12,K1_J12,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
KP1,3L2,05_actuator_interruption.kicad_sch,POLE2 IN,K1_J12,K1_J12,K1_J12,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
KP1,4T2,05_actuator_interruption.kicad_sch,POLE2 OUT,K1_J23,K1_J23,K1_J23,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
KP1,5L3,05_actuator_interruption.kicad_sch,POLE3 IN,K1_J23,K1_J23,K1_J23,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
KP1,6T3,05_actuator_interruption.kicad_sch,POLE3 OUT,K1_OUT,K1_OUT,K1_OUT,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
KP2,1L1,05_actuator_interruption.kicad_sch,POLE1 IN,K1_OUT,K1_OUT,K1_OUT,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
KP2,2T1,05_actuator_interruption.kicad_sch,POLE1 OUT,K2_J12,K2_J12,K2_J12,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
KP2,3L2,05_actuator_interruption.kicad_sch,POLE2 IN,K2_J12,K2_J12,K2_J12,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
KP2,4T2,05_actuator_interruption.kicad_sch,POLE2 OUT,K2_J23,K2_J23,K2_J23,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
KP2,5L3,05_actuator_interruption.kicad_sch,POLE3 IN,K2_J23,K2_J23,K2_J23,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
KP2,6T3,05_actuator_interruption.kicad_sch,POLE3 OUT,ACT_12V_BUS,ACT_12V_BUS,ACT_12V_BUS,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
KWD1,11,03_arm_watchdog_eligibility.kicad_sch,SR1 SUPPLY GATE IN,SAFETY_24V,SAFETY_24V,SAFETY_24V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
KWD1,12,03_arm_watchdog_eligibility.kicad_sch,CH1 NC UNUSED,INTENTIONALLY_UNUSED_KWD1_12,unconnected-(KWD1-CH1_NC_UNUSED-Pad12),unconnected-(KWD1-CH1_NC_UNUSED-Pad12),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
KWD1,14,03_arm_watchdog_eligibility.kicad_sch,SR1 SUPPLY GATE STAGE 1,WD_SUPPLY_INTERMEDIATE,WD_SUPPLY_INTERMEDIATE,WD_SUPPLY_INTERMEDIATE,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
KWD1,21,03_arm_watchdog_eligibility.kicad_sch,CH2 COM +24V,SAFETY_24V,SAFETY_24V,SAFETY_24V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
KWD1,22,03_arm_watchdog_eligibility.kicad_sch,CH2 NC FEEDBACK,WD1_NC_24V,WD1_NC_24V,WD1_NC_24V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
KWD1,24,03_arm_watchdog_eligibility.kicad_sch,CH2 NO UNUSED,INTENTIONALLY_UNUSED_KWD1_24,unconnected-(KWD1-CH2_NO_UNUSED-Pad24),unconnected-(KWD1-CH2_NO_UNUSED-Pad24),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
KWD1,A1,03_arm_watchdog_eligibility.kicad_sch,COIL +24V,SAFETY_24V,SAFETY_24V,SAFETY_24V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
KWD1,A2,03_arm_watchdog_eligibility.kicad_sch,DRIVER RETURN,WD1_COIL_N,WD1_COIL_N,WD1_COIL_N,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
KWD2,11,03_arm_watchdog_eligibility.kicad_sch,SR1 SUPPLY GATE STAGE 1,WD_SUPPLY_INTERMEDIATE,WD_SUPPLY_INTERMEDIATE,WD_SUPPLY_INTERMEDIATE,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
KWD2,12,03_arm_watchdog_eligibility.kicad_sch,CH1 NC UNUSED,INTENTIONALLY_UNUSED_KWD2_12,unconnected-(KWD2-CH1_NC_UNUSED-Pad12),unconnected-(KWD2-CH1_NC_UNUSED-Pad12),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
KWD2,14,03_arm_watchdog_eligibility.kicad_sch,SR1 A1 GATED SUPPLY,SR1_A1_WD_GATED,SR1_A1_WD_GATED,SR1_A1_WD_GATED,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
KWD2,21,03_arm_watchdog_eligibility.kicad_sch,CH2 COM +24V,SAFETY_24V,SAFETY_24V,SAFETY_24V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
KWD2,22,03_arm_watchdog_eligibility.kicad_sch,CH2 NC FEEDBACK,WD2_NC_24V,WD2_NC_24V,WD2_NC_24V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
KWD2,24,03_arm_watchdog_eligibility.kicad_sch,CH2 NO UNUSED,INTENTIONALLY_UNUSED_KWD2_24,unconnected-(KWD2-CH2_NO_UNUSED-Pad24),unconnected-(KWD2-CH2_NO_UNUSED-Pad24),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
KWD2,A1,03_arm_watchdog_eligibility.kicad_sch,COIL +24V,SAFETY_24V,SAFETY_24V,SAFETY_24V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
KWD2,A2,03_arm_watchdog_eligibility.kicad_sch,DRIVER RETURN,WD2_COIL_N,WD2_COIL_N,WD2_COIL_N,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
PI1,HDR40-11,09_compute_and_control_terminals.kicad_sch,GPIO17 HEARTBEAT OUT,PI_HEARTBEAT,PI_HEARTBEAT,PI_HEARTBEAT,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
PI1,HDR40-6,09_compute_and_control_terminals.kicad_sch,GPIO HEADER GND,COMPUTE_0V,COMPUTE_0V,COMPUTE_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
PI1,USB-C-GND,09_compute_and_control_terminals.kicad_sch,USB-C POWER RETURN,COMPUTE_0V,COMPUTE_0V,COMPUTE_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
PI1,USB-C-VBUS,09_compute_and_control_terminals.kicad_sch,+5V INPUT,COMPUTE_5V,COMPUTE_5V,COMPUTE_5V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
