reference,sheet,terminal_count,bom_parity,schedule_parity,native_net_parity,disposition,warning
JWF1,11_watchdog_pcb_connectors.kicad_sch,2,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
JWH1,11_watchdog_pcb_connectors.kicad_sch,2,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
JWP1,11_watchdog_pcb_connectors.kicad_sch,4,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
K1,04_contactor_edm.kicad_sch,6,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
K2,04_contactor_edm.kicad_sch,6,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
KP1,05_actuator_interruption.kicad_sch,6,NOT POPULATED / NON-BOM,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
KP2,05_actuator_interruption.kicad_sch,6,NOT POPULATED / NON-BOM,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
KWD1,03_arm_watchdog_eligibility.kicad_sch,8,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
KWD2,03_arm_watchdog_eligibility.kicad_sch,8,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
PI1,09_compute_and_control_terminals.kicad_sch,5,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
PSA1,01_external_sources.kicad_sch,9,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
PSU2,01_external_sources.kicad_sch,6,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
PSU3,01_external_sources.kicad_sch,3,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RHB1,07_watchdog_control.kicad_sch,2,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RHP1,07_watchdog_control.kicad_sch,2,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RPD1,08_watchdog_feedback_interface.kicad_sch,2,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RPD2,08_watchdog_feedback_interface.kicad_sch,2,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RSN1,08_watchdog_feedback_interface.kicad_sch,2,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RSN2,08_watchdog_feedback_interface.kicad_sch,2,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RSO1,08_watchdog_feedback_interface.kicad_sch,2,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RSO2,08_watchdog_feedback_interface.kicad_sch,2,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RTH1,08_watchdog_feedback_interface.kicad_sch,2,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RTH2,08_watchdog_feedback_interface.kicad_sch,2,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RW1,08_watchdog_feedback_interface.kicad_sch,2,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RW2,08_watchdog_feedback_interface.kicad_sch,2,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
S0,02_estop_eligibility.kicad_sch,4,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
S1,02_estop_eligibility.kicad_sch,2,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
S2,03_arm_watchdog_eligibility.kicad_sch,2,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SD1,05_actuator_interruption.kicad_sch,2,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SP1,01_external_sources.kicad_sch,2,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SR1,02_estop_eligibility.kicad_sch,16,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SRA1,03_arm_watchdog_eligibility.kicad_sch,16,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
TP1,12_watchdog_pcb_test_access.kicad_sch,1,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
TP10,12_watchdog_pcb_test_access.kicad_sch,1,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
TP11,12_watchdog_pcb_test_access.kicad_sch,1,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
TP12,12_watchdog_pcb_test_access.kicad_sch,1,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
TP13,12_watchdog_pcb_test_access.kicad_sch,1,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
TP14,12_watchdog_pcb_test_access.kicad_sch,1,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
TP15,12_watchdog_pcb_test_access.kicad_sch,1,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
TP16,12_watchdog_pcb_test_access.kicad_sch,1,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
TP2,12_watchdog_pcb_test_access.kicad_sch,1,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
TP3,12_watchdog_pcb_test_access.kicad_sch,1,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
TP4,12_watchdog_pcb_test_access.kicad_sch,1,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
TP5,12_watchdog_pcb_test_access.kicad_sch,1,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
TP6,12_watchdog_pcb_test_access.kicad_sch,1,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
TP7,12_watchdog_pcb_test_access.kicad_sch,1,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
TP8,12_watchdog_pcb_test_access.kicad_sch,1,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
TP9,12_watchdog_pcb_test_access.kicad_sch,1,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
U1,10_actuator_interfaces.kicad_sch,4,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV1,07_watchdog_control.kicad_sch,16,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV2,07_watchdog_control.kicad_sch,16,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UFB1,08_watchdog_feedback_interface.kicad_sch,16,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
WDCTRL1,07_watchdog_control.kicad_sch,11,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
XT1,09_compute_and_control_terminals.kicad_sch,6,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
