parity_id,domain,sheet,wire_number,reference,terminal,pin_name,net,p115_state,p118_state,comparison,warning
KAP3-P-015,coil_edm,04_contactor_edm.kicad_sch,W4015,FSR2,1,IN,SRA1_K2_RAW,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-P-016,coil_edm,04_contactor_edm.kicad_sch,W4016,FSR2,2,OUT,K2_A1,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-P-017,power_path,05_actuator_interruption.kicad_sch,W5001,F0,1,SOURCE,ACT_12V_RAW,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-P-018,power_path,05_actuator_interruption.kicad_sch,W5002,F0,2,PROTECTED,ACT_12V_FUSED,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-P-019,power_path,05_actuator_interruption.kicad_sch,W5003,SD1,TBD-IN,IN,ACT_12V_FUSED,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-P-020,power_path,05_actuator_interruption.kicad_sch,W5004,SD1,TBD-OUT,OUT,K1_P1_IN,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-P-021,power_path,05_actuator_interruption.kicad_sch,W5005,KP1,1L1,POLE1 IN,K1_P1_IN,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-P-022,power_path,05_actuator_interruption.kicad_sch,W5006,KP1,3L2,POLE2 IN,K1_J12,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-P-023,power_path,05_actuator_interruption.kicad_sch,W5007,KP1,5L3,POLE3 IN,K1_J23,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-P-024,power_path,05_actuator_interruption.kicad_sch,W5008,KP1,2T1,POLE1 OUT,K1_J12,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-P-025,power_path,05_actuator_interruption.kicad_sch,W5009,KP1,4T2,POLE2 OUT,K1_J23,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-P-026,power_path,05_actuator_interruption.kicad_sch,W5010,KP1,6T3,POLE3 OUT,K1_OUT,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-P-027,power_path,05_actuator_interruption.kicad_sch,W5011,KP2,1L1,POLE1 IN,K1_OUT,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-P-028,power_path,05_actuator_interruption.kicad_sch,W5012,KP2,3L2,POLE2 IN,K2_J12,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-P-029,power_path,05_actuator_interruption.kicad_sch,W5013,KP2,5L3,POLE3 IN,K2_J23,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-P-030,power_path,05_actuator_interruption.kicad_sch,W5014,KP2,2T1,POLE1 OUT,K2_J12,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-P-031,power_path,05_actuator_interruption.kicad_sch,W5015,KP2,4T2,POLE2 OUT,K2_J23,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-P-032,power_path,05_actuator_interruption.kicad_sch,W5016,KP2,6T3,POLE3 OUT,ACT_12V_BUS,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
