item_id,module,harness_assembly,role,candidate,declared_connector_boundary,operating_power_w,dynamic_link,physical_connector_and_contacts,power_net_and_protection,data_net_and_interface,route_and_retention,completeness_state
EQ-WPS-RS-LARM,T01,HN-C01,six-channel actuator branch protection board,routed 124 x 45 mm ten-layer WPS-RS-LARM instance; three left-arm axes plus three DNP channels,"one bus-specific controlled feed input, six paired bidirectional branch outputs, six disable/PG control boundaries",0.100,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-WPS-RS-RARM,T01,HN-C01,six-channel actuator branch protection board,routed 124 x 45 mm ten-layer WPS-RS-RARM instance; three right-arm axes plus three DNP channels,"one bus-specific controlled feed input, six paired bidirectional branch outputs, six disable/PG control boundaries",0.100,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-WPS-TTL-LDIST,T01,HN-C01,six-channel actuator branch protection board,routed 124 x 45 mm ten-layer WPS-TTL-LDIST instance; left wrist and gripper plus four DNP channels,"one bus-specific controlled feed input, six paired bidirectional branch outputs, six disable/PG control boundaries",0.100,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-WPS-TTL-RDIST,T01,HN-C01,six-channel actuator branch protection board,routed 124 x 45 mm ten-layer WPS-TTL-RDIST instance; right wrist and gripper plus four DNP channels,"one bus-specific controlled feed input, six paired bidirectional branch outputs, six disable/PG control boundaries",0.100,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-WPS-TTL-HEAD,T01,HN-C01,six-channel actuator branch protection board,routed 124 x 45 mm ten-layer WPS-TTL-HEAD instance; head pan and tilt plus four DNP channels,"one bus-specific controlled feed input, six paired bidirectional branch outputs, six disable/PG control boundaries",0.100,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-WPS-RS-WAIST,P01,HN-P01,six-channel actuator branch protection board,routed 124 x 45 mm ten-layer WPS-RS-WAIST instance; waist axis plus five DNP channels,"one bus-specific controlled feed input, six paired bidirectional branch outputs, six disable/PG control boundaries",0.100,base_link,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-T01-TTL-REG-LDIST,T01,HN-C01,dedicated 12 V to 9 V actuator-bus regulator,Pololu S18V20F9 item 2576 candidate in 45 x 22 x 14 mm installed clearance envelope; output TTL_LDIST_SAFE_9V,separate ACT_MAIN_SAFE_12V input and TTL_LDIST_SAFE_9V output; no regulator outputs may be paralleled; exact contacts and reverse-energy behavior open,18.000,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-T01-TTL-REG-RDIST,T01,HN-C01,dedicated 12 V to 9 V actuator-bus regulator,Pololu S18V20F9 item 2576 candidate in 45 x 22 x 14 mm installed clearance envelope; output TTL_RDIST_SAFE_9V,separate ACT_MAIN_SAFE_12V input and TTL_RDIST_SAFE_9V output; no regulator outputs may be paralleled; exact contacts and reverse-energy behavior open,18.000,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-T01-TTL-REG-HEAD,T01,HN-C01,dedicated 12 V to 9 V actuator-bus regulator,Pololu S18V20F9 item 2576 candidate in 45 x 22 x 14 mm installed clearance envelope; output TTL_HEAD_SAFE_9V,separate ACT_MAIN_SAFE_12V input and TTL_HEAD_SAFE_9V output; no regulator outputs may be paralleled; exact contacts and reverse-energy behavior open,18.000,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-P01-AUX-CONVERTER,P01,HN-P01,auxiliary power conversion,150 x 58 mm three-rail carrier candidate with 2x RECOM REC30E-2405SZ + 1x TRACO POWER TEN 40-1211E; compute/HMI/control positive rails remain separate,three protected 12 V inputs; COMPUTE_5V1/HMI_5V0/AUX_5V_SAFE outputs; returns meet at AUX_0V_STAR; fuse/reverse-inrush/bond/harness open,0.000,base_link,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-P01-IMU,P01,HN-P01,pelvis inertial sensor,industrial 6/9-axis IMU module candidate; exact model required,isolated CAN/SPI and keyed power; axis/latency/calibration interface open,0.800,base_link,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-P01-RESTRAINT-ANCHOR,P01,HN-P01,fall-restraint body hardpoint,through-bolted dual-lug restraint anchor candidate,rated connector geometry/load path remains open,0.000,base_link,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-T01-BATTERY-PACK,T01,HN-C01,legacy onboard-energy packaging envelope,REJECTED direct source: Grepow/Tattu TAA12K4S30EC5 4S pack; envelope retained for redesign visibility only,high-current power and balance/telemetry connectors SELECTION REQUIRED; no BMS/PCM inferred,0.000,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-T01-BATTERY-CASSETTE,T01,HN-E01,battery enclosure and retention,84 x 49 x 205 mm removable ventilated metal cassette candidate,"mechanical keying, secondary retention, venting, containment and fall-load path SELECTION REQUIRED",0.000,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-T01-BATTERY-PROTECTION,T01,HN-E01,battery protection and telemetry,"4S high-current protection, cell monitor and temperature interface reservation; exact hardware SELECTION REQUIRED","cell taps, dual temperature inputs, pack current, precharge and hardwired inhibit; ratings/pinout open",0.800,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-H01-DISPLAY,H01,HN-NH01,face display,"Waveshare 4inch HDMI LCD (H), SKU 16340, rotated landscape candidate","remote micro-HDMI-to-full-HDMI link from torso Pi 5, separately protected 5 V, and optional touch SPI; direct GPIO stacking rejected by packaging",5.000,head,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-H01-CAMERA-L,H01,HN-NH01,stereo/wide vision,Raspberry Pi Camera Module 3 Wide candidate,official Standard-Mini camera cable family: Pi 5 22-way FPC to Camera Module 3 15-pin FPC; 300 mm route candidate; privacy indicator interlock open,1.500,head,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-H01-CAMERA-R,H01,HN-NH01,stereo/wide vision,Raspberry Pi Camera Module 3 Wide candidate,official Standard-Mini camera cable family: Pi 5 22-way FPC to Camera Module 3 15-pin FPC; 300 mm route candidate; privacy indicator interlock open,1.500,head,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-H01-MIC-ARRAY,H01,HN-NH01,far-field microphone array,"Seeed Studio reSpeaker Flex XVF3800 Linear-4, SKU 100099135, microphone daughterboard candidate","included 24-pin 0.5 mm-pitch 200 mm FPC to rear-head XVF3800 core; acoustic seals, vibration isolation and privacy mute circuit open",0.100,head,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-H01-SPEAKER-L,H01,HN-NH01,speech output,"Seeed Studio Mono Enclosed Speaker 4R 5W, SKU 114993346 candidate","two-wire 4 ohm speaker link from reSpeaker Flex core; exact mating connector, grille, seal and acoustic test open",0.000,head,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-H01-SPEAKER-R,H01,HN-NH01,speech output,"Seeed Studio Mono Enclosed Speaker 4R 5W, SKU 114993346 candidate","two-wire 4 ohm speaker link from reSpeaker Flex core; exact mating connector, grille, seal and acoustic test open",0.000,head,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-H01-AUDIO-AMP,H01,HN-NH01,audio amplifier,Seeed Studio reSpeaker Flex XVF3800 core board included with SKU 100099135 candidate,"locking PH2.0 USB UAC/DFU host link, 12 V auxiliary power, included 24-pin microphone FPC and two 4 ohm speaker outputs; exact connector contacts and gain/EMC validation open",12.000,head,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-H01-FAN,H01,HN-NH01,head ventilation,Sunon MF30100V3-10000-A99 30 x 30 x 10 mm 5 V fan candidate,"5 V two-wire fan; protected feed, current-based failure detection, filter, duct, noise and finger guard open; no tach signal inferred",0.230,head,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-F01-SOLE,F01,HN-F01,compliant sole,replaceable 2.5 mm patterned TPU/rubber tread candidate,mechanical adhesive/fastener pattern; friction/wear selection open,0.000,L_foot,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-F01-LOAD-11,F01,HN-F01,foot normal-force sensor,miniature load-cell/force-sensor puck candidate,four-wire bridge or local ADC; overload stop and calibration open,0.050,L_foot,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-F01-LOAD-12,F01,HN-F01,foot normal-force sensor,miniature load-cell/force-sensor puck candidate,four-wire bridge or local ADC; overload stop and calibration open,0.050,L_foot,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-F01-LOAD-21,F01,HN-F01,foot normal-force sensor,miniature load-cell/force-sensor puck candidate,four-wire bridge or local ADC; overload stop and calibration open,0.050,L_foot,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-F01-LOAD-22,F01,HN-F01,foot normal-force sensor,miniature load-cell/force-sensor puck candidate,four-wire bridge or local ADC; overload stop and calibration open,0.050,L_foot,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-F02-SOLE,F02,HN-F02,compliant sole,replaceable 2.5 mm patterned TPU/rubber tread candidate,mechanical adhesive/fastener pattern; friction/wear selection open,0.000,R_foot,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-F02-LOAD-11,F02,HN-F02,foot normal-force sensor,miniature load-cell/force-sensor puck candidate,four-wire bridge or local ADC; overload stop and calibration open,0.050,R_foot,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-F02-LOAD-12,F02,HN-F02,foot normal-force sensor,miniature load-cell/force-sensor puck candidate,four-wire bridge or local ADC; overload stop and calibration open,0.050,R_foot,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-F02-LOAD-21,F02,HN-F02,foot normal-force sensor,miniature load-cell/force-sensor puck candidate,four-wire bridge or local ADC; overload stop and calibration open,0.050,R_foot,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-F02-LOAD-22,F02,HN-F02,foot normal-force sensor,miniature load-cell/force-sensor puck candidate,four-wire bridge or local ADC; overload stop and calibration open,0.050,R_foot,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-G01-INBOARD-PAD,G01,HN-G01,gripper contact pad,replaceable compliant urethane/silicone pad candidate,mechanical captive pocket/adhesive selection open,0.000,L_hand,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-G01-OUTBOARD-PAD,G01,HN-G01,gripper contact pad,replaceable compliant urethane/silicone pad candidate,mechanical captive pocket/adhesive selection open,0.000,L_hand,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-G02-INBOARD-PAD,G02,HN-G02,gripper contact pad,replaceable compliant urethane/silicone pad candidate,mechanical captive pocket/adhesive selection open,0.000,R_hand,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-G02-OUTBOARD-PAD,G02,HN-G02,gripper contact pad,replaceable compliant urethane/silicone pad candidate,mechanical captive pocket/adhesive selection open,0.000,R_hand,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-HN01_TORSO_POWER_SPINE,HN01,HN-X01,installed harness bundle,segregated power cable bundle plus two connector allowances,SELECTION REQUIRED,0.000,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-HN01_TORSO_DATA_SPINE,HN01,HN-X01,installed harness bundle,segregated data/encoder cable bundle plus two connector allowances,SELECTION REQUIRED,0.000,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-HN01_HEAD_BRANCH,HN01,HN-X01,installed harness bundle,segregated data/encoder cable bundle plus two connector allowances,SELECTION REQUIRED,0.000,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-HN01_HEAD_POWER_BRANCH,HN01,HN-X01,installed harness bundle,segregated power cable bundle plus two connector allowances,SELECTION REQUIRED,0.000,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-HN01_L_LEG_POWER,HN01,HN-X01,installed harness bundle,segregated power cable bundle plus two connector allowances,SELECTION REQUIRED,0.000,base_link,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-HN01_L_LEG_DATA,HN01,HN-X01,installed harness bundle,segregated data/encoder cable bundle plus two connector allowances,SELECTION REQUIRED,0.000,base_link,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-HN01_L_ARM_POWER,HN01,HN-X01,installed harness bundle,segregated power cable bundle plus two connector allowances,SELECTION REQUIRED,0.000,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-HN01_L_ARM_DATA,HN01,HN-X01,installed harness bundle,segregated data/encoder cable bundle plus two connector allowances,SELECTION REQUIRED,0.000,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-HN01_R_LEG_POWER,HN01,HN-X01,installed harness bundle,segregated power cable bundle plus two connector allowances,SELECTION REQUIRED,0.000,base_link,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-HN01_R_LEG_DATA,HN01,HN-X01,installed harness bundle,segregated data/encoder cable bundle plus two connector allowances,SELECTION REQUIRED,0.000,base_link,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-HN01_R_ARM_POWER,HN01,HN-X01,installed harness bundle,segregated power cable bundle plus two connector allowances,SELECTION REQUIRED,0.000,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-HN01_R_ARM_DATA,HN01,HN-X01,installed harness bundle,segregated data/encoder cable bundle plus two connector allowances,SELECTION REQUIRED,0.000,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-FST-CENTRAL,T01/P01/H01,HN-X01,distributed fasteners/inserts/retainers,metric service fastener set; exact count/grade/torque/locking SELECTION REQUIRED,mechanical only,0.000,base_link,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-FST-LEFT-ARM,A01/G01,HN-X01,distributed fasteners/inserts/retainers,metric service fastener set; exact count/grade/torque/locking SELECTION REQUIRED,mechanical only,0.000,L_upper_arm,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-FST-RIGHT-ARM,A02/G02,HN-X01,distributed fasteners/inserts/retainers,metric service fastener set; exact count/grade/torque/locking SELECTION REQUIRED,mechanical only,0.000,R_upper_arm,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-FST-LEFT-LEG,L01/F01,HN-X01,distributed fasteners/inserts/retainers,metric service fastener set; exact count/grade/torque/locking SELECTION REQUIRED,mechanical only,0.000,L_thigh,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-FST-RIGHT-LEG,L02/F02,HN-X01,distributed fasteners/inserts/retainers,metric service fastener set; exact count/grade/torque/locking SELECTION REQUIRED,mechanical only,0.000,R_thigh,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
