check_id,inspection_or_action,gate_id,recorded_value,performed_by,witness,timestamp,state,authority,warning
T15,"Insulation-test power-to-data, power-to-frame and branch-to-branch",FER-G06,NONE,UNASSIGNED,UNASSIGNED,NOT RECORDED,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
T16,Verify data-only inter-actuator links contain no VDD backfeed path,FER-G06,NONE,UNASSIGNED,UNASSIGNED,NOT RECORDED,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
T17,"Inspect controller, carriers and PDU for assembly/revision defects",FER-G07,NONE,UNASSIGNED,UNASSIGNED,NOT RECORDED,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
T18,Verify no solder bridge across isolation moats or protected branches,FER-G07,NONE,UNASSIGNED,UNASSIGNED,NOT RECORDED,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
T19,Load approved torque-disabled firmware and record its hash,FER-G09,NONE,UNASSIGNED,UNASSIGNED,NOT RECORDED,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
T20,Verify local boot state requests zero torque and zero motion,FER-G09,NONE,UNASSIGNED,UNASSIGNED,NOT RECORDED,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
T21,Verify conversational agent cannot directly address actuator buses,FER-G09,NONE,UNASSIGNED,UNASSIGNED,NOT RECORDED,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
T22,"Stage guards, observers, E-stop operator and fire response",FER-G10,NONE,UNASSIGNED,UNASSIGNED,NOT RECORDED,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
T23,"Record instrument models, serials and calibration dates",FER-G11,NONE,UNASSIGNED,UNASSIGNED,NOT RECORDED,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
T24,Freeze voltage/current/temperature/time abort limits,FER-G11,NONE,UNASSIGNED,UNASSIGNED,NOT RECORDED,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
T25,Execute and attach every fault-injection result,FER-G08,NONE,UNASSIGNED,UNASSIGNED,NOT RECORDED,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
T26,Collect all five qualified signoffs on one configuration,FER-G12,NONE,UNASSIGNED,UNASSIGNED,NOT RECORDED,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
