source_id,publisher,document,revision_or_date,official_url_or_path,sha256,verified_scope,execution_state,authority,warning
ACK-S13,Alpha Wire,86202 Xtra-Guard Flex product page,live official page; accessed 2026-08-16,https://www.alphawire.com/en/products/cable/xtra-guard-performance-cable/xtra-guard-flex/86202,N/A - LIVE PRIMARY SOURCE,2 x 24 AWG twisted continuous-flex cable; nominal characteristic impedance 87 ohm and 29 ohm/1000 ft conductor DCR at 20 C,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-S14,Alpha Wire,AZ221934 hook-up wire product page,live official page; accessed 2026-08-16,https://www.alphawire.com/products/wire/hook-up-wire/premium/az221934,N/A - LIVE PRIMARY SOURCE,"22 AWG ETFE hook-up wire, -55 to 150 C, 600 V and nominal 15.1 ohm/1000 ft DCR at 20 C; no continuous-flex robot qualification claimed",NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-S15,igus,chainflex CF240 product page,live official page; accessed 2026-08-16,https://www.igus.com/product/CF240,N/A - LIVE PRIMARY SOURCE,CF240.01.03 is shielded 3 x 26 AWG / 0.14 mm2; twist/controlled impedance not established on page,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-S16,Alpha Wire,3051 product page and customer specification,live official page/specification; accessed 2026-08-17,https://www.alphawire.com/products/wire/hook-up-wire/premium/3051,N/A - LIVE PRIMARY SOURCE,22 AWG 7/30 tinned copper; 1.575 +/- 0.051 mm OD; nominal DCR 16.2 ohm/1000 ft at 20 C; 10xd bend radius; static suspended-commissioning coupon candidate only,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-S17,igus,chainflex CF130-UL product page,live official page; accessed 2026-08-17,https://www.igus.com/product/CF130_UL,N/A - LIVE PRIMARY SOURCE,CF130.03.02.UL is 2 x 22 AWG / 0.34 mm2 medium-duty moving cable; published 7.5xd minimum radius at +15 to +60 C for five million double strokes,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-S18,Molex,Micro-Fit 3.0 series 43025 receptacle-housing chart,live official page; accessed 2026-08-17,https://www.molex.com/en-us/products/series-chart/43025,N/A - LIVE PRIMARY SOURCE,430250200 is a 2-circuit dual-row receptacle housing; polarized and locked to its mating part; -40 to +105 C,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-S19,Molex,Micro-Fit 3.0 series 43020 plug-housing chart,live official page; accessed 2026-08-17,https://www.molex.com/en-us/products/series-chart/43020,N/A - LIVE PRIMARY SOURCE,430200200 is a 2-circuit dual-row plug housing with panel-mount ears; polarized and locked to its mating part; -40 to +105 C,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-S20,Molex,Micro-Fit 3.0 series 43030 female-terminal chart,live official page; accessed 2026-08-17,https://www.molex.com/en-us/products/series-chart/43030,N/A - LIVE PRIMARY SOURCE,430300001 is the tin-plated female crimp terminal for 24-20 AWG and 1.85 mm maximum insulation diameter; 30 mating cycles,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-S21,Molex,Micro-Fit 3.0 series 43031 male-terminal chart,live official page; accessed 2026-08-17,https://www.molex.com/en-us/products/series-chart/43031,N/A - LIVE PRIMARY SOURCE,430310001 is the tin-plated male crimp terminal for 24-20 AWG and 1.85 mm maximum insulation diameter; 30 mating cycles,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-S22,Molex,Micro-Fit 3.0 dual-row product specification PS-43045,revision R; 2025-11-14,https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/productspecificationpdf/430/43045/PS-43045-001.pdf,N/A - LIVE PRIMARY SOURCE,wire-to-wire system scope and 43025/43020/43030/43031 family relationship; application-specific current derating remains required,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-S23,Molex,Micro-Fit 3.0 application specification 430450001-AS,revision A1; approved 2025-11-21,https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/applicationspecificationspdf/430/43045/430450001-AS-000.pdf,N/A - LIVE PRIMARY SOURCE,crimp/application guidance for 18-30 AWG stranded copper wire and standard Micro-Fit families,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
