cavity_id,connector_id,connector_role,axis_id,bus_id,pin,signal,physical_role,required_population,actual_population,continuity_target,no_backfeed_requirement,execution_state,authority,warning
IN-L_HIP_ROLL-3,J-ACT-L_HIP_ROLL,ACTUATOR INPUT,L_HIP_ROLL,RS-LLEG,3,DATA+,SERIAL DATA,POPULATED,NOT INSPECTED,RS-LLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-L_HIP_ROLL-4,J-ACT-L_HIP_ROLL,ACTUATOR INPUT,L_HIP_ROLL,RS-LLEG,4,DATA-,SERIAL DATA,POPULATED,NOT INSPECTED,RS-LLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-L_HIP_ROLL-1,J-OUT-L_HIP_ROLL,DATA-ONLY OUTGOING,L_HIP_ROLL,RS-LLEG,1,GND,MUST REMAIN EMPTY,EMPTY,NOT INSPECTED,OPEN CIRCUIT,NO CONTINUITY TO GND/VDD OR ANY ADJACENT ACTUATOR BRANCH,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-L_HIP_ROLL-2,J-OUT-L_HIP_ROLL,DATA-ONLY OUTGOING,L_HIP_ROLL,RS-LLEG,2,VDD,MUST REMAIN EMPTY,EMPTY,NOT INSPECTED,OPEN CIRCUIT,NO CONTINUITY TO GND/VDD OR ANY ADJACENT ACTUATOR BRANCH,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-L_HIP_ROLL-3,J-OUT-L_HIP_ROLL,DATA-ONLY OUTGOING,L_HIP_ROLL,RS-LLEG,3,DATA+,SERIAL DATA,POPULATED,NOT INSPECTED,RS-LLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-L_HIP_ROLL-4,J-OUT-L_HIP_ROLL,DATA-ONLY OUTGOING,L_HIP_ROLL,RS-LLEG,4,DATA-,SERIAL DATA,POPULATED,NOT INSPECTED,RS-LLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-L_HIP_PITCH-1,J-ACT-L_HIP_PITCH,ACTUATOR INPUT,L_HIP_PITCH,RS-LLEG,1,GND,INDIVIDUAL BRANCH RETURN,POPULATED,NOT INSPECTED,INDIVIDUAL PBR,VERIFY ISOLATED FROM ADJACENT POWER BRANCHES,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-L_HIP_PITCH-2,J-ACT-L_HIP_PITCH,ACTUATOR INPUT,L_HIP_PITCH,RS-LLEG,2,VDD,INDIVIDUAL PROTECTED BRANCH POSITIVE,POPULATED,NOT INSPECTED,INDIVIDUAL PBR,VERIFY ISOLATED FROM ADJACENT POWER BRANCHES,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-L_HIP_PITCH-3,J-ACT-L_HIP_PITCH,ACTUATOR INPUT,L_HIP_PITCH,RS-LLEG,3,DATA+,SERIAL DATA,POPULATED,NOT INSPECTED,RS-LLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-L_HIP_PITCH-4,J-ACT-L_HIP_PITCH,ACTUATOR INPUT,L_HIP_PITCH,RS-LLEG,4,DATA-,SERIAL DATA,POPULATED,NOT INSPECTED,RS-LLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-L_HIP_PITCH-1,J-OUT-L_HIP_PITCH,DATA-ONLY OUTGOING,L_HIP_PITCH,RS-LLEG,1,GND,MUST REMAIN EMPTY,EMPTY,NOT INSPECTED,OPEN CIRCUIT,NO CONTINUITY TO GND/VDD OR ANY ADJACENT ACTUATOR BRANCH,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-L_HIP_PITCH-2,J-OUT-L_HIP_PITCH,DATA-ONLY OUTGOING,L_HIP_PITCH,RS-LLEG,2,VDD,MUST REMAIN EMPTY,EMPTY,NOT INSPECTED,OPEN CIRCUIT,NO CONTINUITY TO GND/VDD OR ANY ADJACENT ACTUATOR BRANCH,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-L_HIP_PITCH-3,J-OUT-L_HIP_PITCH,DATA-ONLY OUTGOING,L_HIP_PITCH,RS-LLEG,3,DATA+,SERIAL DATA,POPULATED,NOT INSPECTED,RS-LLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-L_HIP_PITCH-4,J-OUT-L_HIP_PITCH,DATA-ONLY OUTGOING,L_HIP_PITCH,RS-LLEG,4,DATA-,SERIAL DATA,POPULATED,NOT INSPECTED,RS-LLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-L_KNEE_PITCH-1,J-ACT-L_KNEE_PITCH,ACTUATOR INPUT,L_KNEE_PITCH,RS-LLEG,1,GND,INDIVIDUAL BRANCH RETURN,POPULATED,NOT INSPECTED,INDIVIDUAL PBR,VERIFY ISOLATED FROM ADJACENT POWER BRANCHES,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-L_KNEE_PITCH-2,J-ACT-L_KNEE_PITCH,ACTUATOR INPUT,L_KNEE_PITCH,RS-LLEG,2,VDD,INDIVIDUAL PROTECTED BRANCH POSITIVE,POPULATED,NOT INSPECTED,INDIVIDUAL PBR,VERIFY ISOLATED FROM ADJACENT POWER BRANCHES,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-L_KNEE_PITCH-3,J-ACT-L_KNEE_PITCH,ACTUATOR INPUT,L_KNEE_PITCH,RS-LLEG,3,DATA+,SERIAL DATA,POPULATED,NOT INSPECTED,RS-LLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-L_KNEE_PITCH-4,J-ACT-L_KNEE_PITCH,ACTUATOR INPUT,L_KNEE_PITCH,RS-LLEG,4,DATA-,SERIAL DATA,POPULATED,NOT INSPECTED,RS-LLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-L_KNEE_PITCH-1,J-OUT-L_KNEE_PITCH,DATA-ONLY OUTGOING,L_KNEE_PITCH,RS-LLEG,1,GND,MUST REMAIN EMPTY,EMPTY,NOT INSPECTED,OPEN CIRCUIT,NO CONTINUITY TO GND/VDD OR ANY ADJACENT ACTUATOR BRANCH,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-L_KNEE_PITCH-2,J-OUT-L_KNEE_PITCH,DATA-ONLY OUTGOING,L_KNEE_PITCH,RS-LLEG,2,VDD,MUST REMAIN EMPTY,EMPTY,NOT INSPECTED,OPEN CIRCUIT,NO CONTINUITY TO GND/VDD OR ANY ADJACENT ACTUATOR BRANCH,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-L_KNEE_PITCH-3,J-OUT-L_KNEE_PITCH,DATA-ONLY OUTGOING,L_KNEE_PITCH,RS-LLEG,3,DATA+,SERIAL DATA,POPULATED,NOT INSPECTED,RS-LLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-L_KNEE_PITCH-4,J-OUT-L_KNEE_PITCH,DATA-ONLY OUTGOING,L_KNEE_PITCH,RS-LLEG,4,DATA-,SERIAL DATA,POPULATED,NOT INSPECTED,RS-LLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-L_ANKLE_PITCH-1,J-ACT-L_ANKLE_PITCH,ACTUATOR INPUT,L_ANKLE_PITCH,RS-LLEG,1,GND,INDIVIDUAL BRANCH RETURN,POPULATED,NOT INSPECTED,INDIVIDUAL PBR,VERIFY ISOLATED FROM ADJACENT POWER BRANCHES,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-L_ANKLE_PITCH-2,J-ACT-L_ANKLE_PITCH,ACTUATOR INPUT,L_ANKLE_PITCH,RS-LLEG,2,VDD,INDIVIDUAL PROTECTED BRANCH POSITIVE,POPULATED,NOT INSPECTED,INDIVIDUAL PBR,VERIFY ISOLATED FROM ADJACENT POWER BRANCHES,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-L_ANKLE_PITCH-3,J-ACT-L_ANKLE_PITCH,ACTUATOR INPUT,L_ANKLE_PITCH,RS-LLEG,3,DATA+,SERIAL DATA,POPULATED,NOT INSPECTED,RS-LLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-L_ANKLE_PITCH-4,J-ACT-L_ANKLE_PITCH,ACTUATOR INPUT,L_ANKLE_PITCH,RS-LLEG,4,DATA-,SERIAL DATA,POPULATED,NOT INSPECTED,RS-LLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-L_ANKLE_PITCH-1,J-OUT-L_ANKLE_PITCH,DATA-ONLY OUTGOING,L_ANKLE_PITCH,RS-LLEG,1,GND,MUST REMAIN EMPTY,EMPTY,NOT INSPECTED,OPEN CIRCUIT,NO CONTINUITY TO GND/VDD OR ANY ADJACENT ACTUATOR BRANCH,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-L_ANKLE_PITCH-2,J-OUT-L_ANKLE_PITCH,DATA-ONLY OUTGOING,L_ANKLE_PITCH,RS-LLEG,2,VDD,MUST REMAIN EMPTY,EMPTY,NOT INSPECTED,OPEN CIRCUIT,NO CONTINUITY TO GND/VDD OR ANY ADJACENT ACTUATOR BRANCH,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-L_ANKLE_PITCH-3,J-OUT-L_ANKLE_PITCH,DATA-ONLY OUTGOING,L_ANKLE_PITCH,RS-LLEG,3,DATA+,SERIAL DATA,POPULATED,NOT INSPECTED,RS-LLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-L_ANKLE_PITCH-4,J-OUT-L_ANKLE_PITCH,DATA-ONLY OUTGOING,L_ANKLE_PITCH,RS-LLEG,4,DATA-,SERIAL DATA,POPULATED,NOT INSPECTED,RS-LLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-L_ANKLE_ROLL-1,J-ACT-L_ANKLE_ROLL,ACTUATOR INPUT,L_ANKLE_ROLL,RS-LLEG,1,GND,INDIVIDUAL BRANCH RETURN,POPULATED,NOT INSPECTED,INDIVIDUAL PBR,VERIFY ISOLATED FROM ADJACENT POWER BRANCHES,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-L_ANKLE_ROLL-2,J-ACT-L_ANKLE_ROLL,ACTUATOR INPUT,L_ANKLE_ROLL,RS-LLEG,2,VDD,INDIVIDUAL PROTECTED BRANCH POSITIVE,POPULATED,NOT INSPECTED,INDIVIDUAL PBR,VERIFY ISOLATED FROM ADJACENT POWER BRANCHES,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-L_ANKLE_ROLL-3,J-ACT-L_ANKLE_ROLL,ACTUATOR INPUT,L_ANKLE_ROLL,RS-LLEG,3,DATA+,SERIAL DATA,POPULATED,NOT INSPECTED,RS-LLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-L_ANKLE_ROLL-4,J-ACT-L_ANKLE_ROLL,ACTUATOR INPUT,L_ANKLE_ROLL,RS-LLEG,4,DATA-,SERIAL DATA,POPULATED,NOT INSPECTED,RS-LLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-R_HIP_YAW-1,J-ACT-R_HIP_YAW,ACTUATOR INPUT,R_HIP_YAW,RS-RLEG,1,GND,INDIVIDUAL BRANCH RETURN,POPULATED,NOT INSPECTED,INDIVIDUAL PBR,VERIFY ISOLATED FROM ADJACENT POWER BRANCHES,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-R_HIP_YAW-2,J-ACT-R_HIP_YAW,ACTUATOR INPUT,R_HIP_YAW,RS-RLEG,2,VDD,INDIVIDUAL PROTECTED BRANCH POSITIVE,POPULATED,NOT INSPECTED,INDIVIDUAL PBR,VERIFY ISOLATED FROM ADJACENT POWER BRANCHES,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
